time,"Brent crude oil spot price, Monthly (dollars per barrel)",avg,,,,,,,,,,,sno,x1,x2,x3,y
1998 03 ,13.103,17.50428571,,,,,,,,,,,,,,,
1998 04 ,13.526,16.71971429,,,,,,,,,,,,,,,
1998 05 ,14.363,16.01485714,,,,,,,,,,,,,,,
1998 06 ,12.206,15.22885714,,,,,,,,,,,,,,,
1998 07 ,12.079,14.23342857,,,,,,,,,,,,,,,
1998 08 ,11.914,13.50457143,,,,,,,,,,,,,,,
1998 09 ,13.343,13.03714286,,,,,,,,,,,,,,,
1998 10 ,12.702,12.93342857,,,,,,,,,,,,,,,
1998 11 ,11.039,12.87614286,,,,,,,,,,,,,,,
1998 12 ,9.824,12.52085714,,,,,,,,,,,,,,,
1999 01 ,11.114,11.87242857,,,,,,,,,,,,,,,
1999 02 ,10.271,11.71642857,,,,,,,,,,,,,,,
1999 03 ,12.511,11.45814286,,,,,,,,,,,,,,,
1999 04 ,15.294,11.54342857,,,,,,,,,,,,,,,
1999 05 ,15.225,11.82214286,,,,,,,,,,,,,,,
1999 06 ,15.863,12.18257143,,,,,,,,,,,,,,,
1999 07 ,19.08,12.87171429,,,,,,,,,,,,,,,
1999 08 ,20.219,14.194,,,,,,,,,,,,,,,
1999 09 ,22.543,15.49471429,,,,,,,,,,,,,,,
1999 10 ,22.002,17.24785714,,,,,,,,,,,,,,,
1999 11 ,24.584,18.60371429,,,,,,,,,,,,,,,
1999 12 ,25.473,19.93085714,,,,,,,,,,,,,,,
2000 01 ,25.511,21.39485714,,,,,,,,,,,,,,,
2000 02 ,27.775,22.77314286,,,,,,,,,,,,,,,
2000 03 ,27.486,24.01528571,,,,,,,,,,,,,,,
2000 04 ,22.764,25.05342857,,,,,,,,,,,,,,,
2000 05 ,27.737,25.085,,,,,,,,,,,,,,,
2000 06 ,29.795,25.90428571,,,,,,,,,,,,,,,
2000 07 ,28.682,26.64871429,,,,,,,,,,,,,,,
2000 08 ,30.196,27.10714286,,,,,,,,,,,,,,,
2000 09 ,33.144,27.77642857,,,,,,,,,,,,,,,
2000 10 ,30.96,28.54342857,,,,,,,,,,,,,,,
2000 11 ,32.552,29.03971429,,,,,,,,,,,,,,,
2000 12 ,25.66,30.438,,,,,,,,,,,,,,,
2001 01 ,25.624,30.14128571,,,,,,,,,,,,,,,
